table,column_count,columns
approval_roles,20,"id | role_code | role_name | level_number | scope | module_code | amount_limit | currency_code | can_approve | can_reject | can_delegate | escalation_role_id | owner_company_id | description | is_active | created_at | updated_at | created_by | updated_by | deleted_at"
areas_zones,17,"id | area_code | name_en | name_ar | city_id | area_type_code | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason"
audit_log,8,"id | action | entity_type | entity_id | details | ip_address | user_id | created_at"
audit_logs,14,"id | actor_user_profile_id | owner_company_id | branch_id | module_code | entity_name | entity_id | entity_reference | action | old_values | new_values | ip_address | user_agent | created_at"
authority_types,12,"id | authority_code | name_en | name_ar | description | is_system | is_active | sort_order | created_at | created_by | updated_at | updated_by"
banks,25,"id | bank_code | bank_name_en | bank_name_ar | short_name | country_id | bank_type_code | swift_code | website_url | contact_phone | contact_email | description_en | description_ar | notes | is_system | is_locked | is_active | sort_order | created_at | created_by | updated_at | updated_by | deactivated_at | deactivated_by | deactivation_reason"
billing_breakdown_items,14,"id | period_name | start_time | end_time | duration_minutes | energy_kwh | rate_per_kwh | energy_charge | demand_kw | demand_charge | line_total | billing_calculation_id | rate_period_id | created_at"
billing_calculations,11,"id | subtotal | taxes | fees | total_amount | currency | breakdown | calculation_date | session_id | rate_structure_id | created_at"
branches,44,"id | owner_company_id | branch_code | branch_name_en | branch_name_ar | emirate | area | address_line_1 | address_line_2 | po_box | phone | email | status | created_at | updated_at | created_by | updated_by | branch_type | is_main_branch | operating_status | city | makani_number | latitude | longitude | contact_person_name | contact_phone | contact_email | has_workshop | has_warehouse | has_yard | has_weighbridge | notes | internal_reference_number | opening_date | closing_date | cost_center_id | profit_center_id | default_work_calendar_id | branch_manager_user_id | legal_branch_name | trade_license_branch_ref | emirate_id | city_id | area_zone_id"
charging_sessions,30,"id | transaction_id | charge_id | card_number | start_date | start_time | start_ts | end_date | end_time | end_ts | duration_minutes | duration_text | energy_consumed_kwh | calculated_cost | max_demand_kw | start_soc_percent | end_soc_percent | co2_reduction_kg | connector_number | connector_type | station_code | user_identifier | has_billing_calculation | notes | station_id | operator_id | shift_id | import_batch_id | created_at | updated_at"
