display_name,legal_name_en,short_name,party_nature_code,party_status_code,country_code,emirate_name,party_type_codes,authority_type_code,service_category_code,source_url,seed_status,data_gaps
"Abu Dhabi Executive Council","Abu Dhabi Executive Council","ADEC","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://ecouncil.ae","READY_TO_SEED",""
"Abu Dhabi Executive Office","Abu Dhabi Executive Office","ADEO","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://adeo.ae","READY_TO_SEED",""
"Department of Government Enablement","Department of Government Enablement","DGE","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://dge.gov.ae","READY_TO_SEED",""
"Department of Finance - Abu Dhabi","Department of Finance","DoF","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://dof.abudhabi.ae","READY_TO_SEED",""
"Statistics Centre - Abu Dhabi","Statistics Centre - Abu Dhabi","SCAD","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","GOVERNMENT_DEPARTMENT","","https://scad.gov.ae","READY_TO_SEED",""
"Abu Dhabi Accountability Authority","Abu Dhabi Accountability Authority","ADAA","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","REGULATORY_AUTHORITY","","https://adaa.gov.ae","READY_TO_SEED",""
"Abu Dhabi Department of Economic Development","Abu Dhabi Department of Economic Development","ADDED","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","GOVERNMENT_DEPARTMENT","LICENSING","https://added.gov.ae","DUPLICATE_CHECK_REQUIRED",""
"Industrial Development Bureau","Industrial Development Bureau","IDB","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","LICENSE_DEPARTMENT","INDUSTRIAL_LICENSING","https://idb.added.gov.ae","READY_TO_SEED",""
"Abu Dhabi Investment Office","Abu Dhabi Investment Office","ADIO","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY","INVESTMENT_AUTHORITY","REGISTRATION","https://investinabudhabi.gov.ae","READY_TO_SEED",""
"Abu Dhabi Chamber of Commerce and Industry","Abu Dhabi Chamber of Commerce and Industry","ADCCI","GOVERNMENT_ENTITY","ACTIVE","AE","Abu Dhabi","GOVERNMENT_AUTHORITY|LICENSE_ISSUER","GOVERNMENT_DEPARTMENT","CERTIFICATION","https://abudhabichamber.ae","READY_TO_SEED",""
