Route,Page file,Sidebar label,Sidebar disabled,Registry perms,Registry globalAdmin,Registry publicToAllActive,Cross-ref status
/,src/app/page.tsx,,,,,,has-page; not-in-registry; not-in-sidebar
/access-denied,src/app/(protected)/access-denied/page.tsx,,,,,,has-page; not-in-registry; not-in-sidebar
/account-disabled,src/app/(auth)/account-disabled/page.tsx,,,,,,has-page; not-in-registry; not-in-sidebar
/admin/ai/audit-explainer,src/app/(protected)/admin/ai/audit-explainer/page.tsx,AI Audit Explainer,False,ai.audit_explainer.use|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/ai/compliance,src/app/(protected)/admin/ai/compliance/page.tsx,AI Compliance,False,ai.compliance.view|ai.common.view|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/ai/dashboard,src/app/(protected)/admin/ai/dashboard/page.tsx,AI Daily Dashboard,False,ai.dashboard.view|ai.dashboard.admin|ai.common.view|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/ai/data-quality,src/app/(protected)/admin/ai/data-quality/page.tsx,AI Data Quality,False,ai.data_quality.view|ai.common.view|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/ai/duplicates,src/app/(protected)/admin/ai/duplicates/page.tsx,AI Duplicates,False,ai.duplicates.view|ai.common.view|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/ai/risk,src/app/(protected)/admin/ai/risk/page.tsx,AI Risk,False,ai.risk.view|ai.common.view|ai.common.admin,False,False,has-page; in-registry; in-sidebar
/admin/audit,src/app/(protected)/admin/audit/page.tsx,Activity Log,False,audit.view,False,False,has-page; in-registry; in-sidebar
/admin/branches,src/app/(protected)/admin/branches/page.tsx,Branches,False,branches.view,False,False,has-page; in-registry; in-sidebar
/admin/branches/record/[id],src/app/(protected)/admin/branches/record/[id]/page.tsx,,,,,,has-page; not-in-registry; not-in-sidebar
/admin/branches/record/new,src/app/(protected)/admin/branches/record/new/page.tsx,,,,,,has-page; not-in-registry; not-in-sidebar
