Capability,LI evidence (backend/frontend),LI maturity,AGT equivalent,AGT status,Gap,Classification,UAE applicability,Priority
Payroll batch engine (freeze/approve/complete/recalculate/rollback),"backend/payroll: payrollBatchService.js, PayrollBatch/PayrollRecord/PayrollTransaction models; frontend payroll-sheet, payroll-transactions","High (engine + tests)","None (payroll.ts = profiles/components/holds only)","Missing engine","No payroll runs possible","completely missing from AGT","Yes — redesign to AED/WPS","P0"
Payslip snapshots & payslip view,"PayrollPayslipSnapshot.js; frontend payslips/","High","None","Missing","Employees cannot receive payslips","completely missing from AGT","Yes — via AGT official-documents framework","P0"
Pay register / paysheet Excel export,"backend/pay-register + payroll/utils/paysheetBundleExport.js; frontend pay-register","High","Report Center has HR reports but no pay register","Missing","No period payroll output","completely missing from AGT","Yes — rebuild on AGT report engine","P1"
Loans & salary advances with EMI,"backend/loans; payroll loanAdvanceService.js; frontend loans","High","None","Missing","No loan/advance lifecycle","completely missing from AGT","Yes","P1"
Arrears engine,"backend/arrears (service + payroll integration); frontend arrears","High","None","Missing","","completely missing from AGT","Yes","P2"
Bonus batches,"backend/bonus (policy/batch/calc)","Medium-High","None","Missing","","completely missing from AGT","Yes","P2"
Manual deductions,"backend/manual-deductions; frontend manual-deductions","Medium","Salary components (static) only","Partial","No case-based deduction workflow","AGT has a partial foundation only","Yes","P2"
Statutory deductions (ESI/PF etc.),"backend/payroll statutoryDeductionService.js","High for India","N/A","Missing","India-specific","India-specific and not applicable to UAE","No — UAE uses different model (no income tax; GPSSA for nationals)","N/A — do not port"
Second salary flow,"backend/payroll secondSalary* (10 files)","Medium-High","None","Missing","Dual-contract workers","useful concept but must be redesigned","Yes (dual employment permits)","P3"
Biometric device integration (ADMS collector, devices, commands, raw logs, replay),"biometric/ full ADMS server (routes/adms.js, Device/DeviceCommand/AdmsRawLog models, syncScheduler)","High","None (0 punches live; manual punch entry only)","Missing","No automated attendance capture","completely missing from AGT","Yes — site-based workforce","P0"
Attendance sync/import/replay services,"backend/attendance attendanceSyncService.js, rosterAttendanceSyncService.js, postVerifyBiometricBackfillService.js","High","createEmployeeAttendancePunch (manual) + daily summary","Partial","No import pipeline","AGT has a partial foundation only","Yes","P0"
Multi-shift & confused-shift detection,"backend/attendance multiShift*, smartINDetectionService.js; frontend confused-shifts","High","Single shift assignments only","Missing","Site/rotation patterns unsupported","completely missing from AGT","Yes","P1"
Shift roster planner + auto-fill,"backend/shifts + attendance roster services; frontend shift-roster","High","Shift Calendar (assignments list)","Partial","No roster planning UI/engine","AGT UI exists but engine/workflow is missing","Yes","P1"
Leave accrual engine + monthly/annual crons,"backend/leaves accrualEngine.js, monthlyAccrualCron.js, annualCLResetCron.js, monthlyClScheduledCreditService.js","High","recalculateEmployeeLeaveBalance (on-demand)","Partial","No scheduled accrual","AGT has a partial foundation only","Yes — adapt to UAE leave law","P1"
Earned Leave policy + range accumulation,"backend/leaves earnedLeave* (4 services), ELHistory model","High","None","Missing","","completely missing from AGT","Partially — UAE annual leave differs","P2 (redesign)"
