Repository,Path,Extension,SizeBytes,Lines,Category,Module,Review status,Review depth,Key symbols,Issues found,Related routes,Related DB objects,Duplicate/obsolete status,Notes
AGT_ERP,.env.local,.local,2322,-1,unknown requiring inspection,.env.local,pending,not started,,,,,,
AGT_ERP,.env.local.example,.example,2850,-1,configuration,.env.local.example,pending,not started,,,,,,
AGT_ERP,.eslintignore,(none),76,-1,configuration,.eslintignore,pending,not started,,,,,,
AGT_ERP,.gitignore,(none),1080,-1,configuration,.gitignore,pending,not started,,,,,,
AGT_ERP,AGENTS.md,.md,327,5,documentation/plan,AGENTS.md,pending,not started,,,,,,
AGT_ERP,CLAUDE.md,.md,11,1,documentation/plan,CLAUDE.md,pending,not started,,,,,,
AGT_ERP,components.json,.json,520,25,configuration,components.json,pending,not started,,,,,,
AGT_ERP,CPU.20260612.120937.3056.0.001.cpuprofile,.cpuprofile,6385,-2,asset/template,CPU.20260612.120937.3056.0.001.cpuprofil,pending,not started,,,,,,
AGT_ERP,eslint.config.mjs,.mjs,465,18,configuration,eslint.config.mjs,pending,not started,,,,,,
AGT_ERP,Invoke-GlmApi.ps1,.ps1,1867,-1,script,Invoke-GlmApi.ps1,pending,not started,,,,,,
AGT_ERP,lint-output.txt,.txt,92776,467,documentation/plan,lint-output.txt,pending,not started,,,,,,
AGT_ERP,next-env.d.ts,.ts,251,6,product source,next-env.d.ts,pending,not started,,,,,,
AGT_ERP,next.config.ts,.ts,1805,46,configuration,next.config.ts,pending,not started,,,,,,
AGT_ERP,package-lock.json,.json,531652,14874,configuration,package-lock.json,pending,not started,,,,,,
AGT_ERP,package.json,.json,2570,75,configuration,package.json,pending,not started,,,,,,
AGT_ERP,playwright.config.ts,.ts,1082,36,configuration,playwright.config.ts,pending,not started,,,,,,
AGT_ERP,postcss.config.mjs,.mjs,94,7,configuration,postcss.config.mjs,pending,not started,,,,,,
AGT_ERP,README.md,.md,2020,48,documentation/plan,README.md,pending,not started,,,,,,
AGT_ERP,skills-lock.json,.json,3270,77,configuration,skills-lock.json,pending,not started,,,,,,
AGT_ERP,tsconfig.json,.json,740,34,configuration,tsconfig.json,pending,not started,,,,,,
AGT_ERP,tsconfig.tsbuildinfo,.tsbuildinfo,980424,-1,unknown requiring inspection,tsconfig.tsbuildinfo,pending,not started,,,,,,
AGT_ERP,vitest.config.ts,.ts,369,16,configuration,vitest.config.ts,pending,not started,,,,,,
AGT_ERP,__commit_msg.txt,.txt,996,15,documentation/plan,__commit_msg.txt,pending,not started,,,,,,
AGT_ERP,agent-tools/analyze_sql.py,.py,1506,41,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/apply_migration_chunks.py,.py,2228,62,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1a_categories.sql,.sql,5210,126,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b1.sql,.sql,9298,116,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b1_clean.sql,.sql,1502,13,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b1_meta.json,.json,583,5,unknown requiring inspection,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b2.sql,.sql,7143,97,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b3.sql,.sql,7873,105,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b_lookups_part1.sql,.sql,24314,318,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1b_ready.json,.json,24349,4,unknown requiring inspection,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1c_lookups_part2.sql,.sql,13581,200,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1d_lookups_part3.sql,.sql,4004,58,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1e_permissions.sql,.sql,2943,77,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1_for_mcp.json,.json,65950,1,unknown requiring inspection,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/chunk1_lookups_permissions.sql,.sql,56274,886,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/convert_to_cte.py,.py,3084,84,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/diagnostic_test.sql,.sql,3590,94,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/fix_lookup_values.py,.py,1119,25,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/fix_role_permissions.py,.py,1904,52,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/fix_sql_columns.py,.py,2072,58,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/fix_values_syntax.py,.py,1579,55,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/lookups_only.sql,.sql,56592,819,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/stmt_1.sql,.sql,1125,19,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/stmt_2.sql,.sql,2510,26,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/stmt_3.sql,.sql,1725,23,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/stmt_4.sql,.sql,2984,29,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/test_corrected.sql,.sql,170065,3036,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/test_final_corrected.sql,.sql,170718,3119,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/test_with_cte.sql,.sql,169346,3151,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/test_with_values_subquery.sql,.sql,173049,3105,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/verify_corrections.py,.py,1534,29,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/verify_sql.py,.py,1276,26,product source,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/_chunk1b1_for_tool.txt,.txt,9298,116,documentation/plan,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/migration_chunks/10_CONSULTANT_CATEGORIES.sql,.sql,118,2,database migration/schema,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/migration_chunks/11_GOVERNMENT_AUTHORITY_TYPES.sql,.sql,142,2,database migration/schema,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/migration_chunks/12_GOVERNMENT_AUTHORITY_CATEGORIES.sql,.sql,128,2,database migration/schema,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/migration_chunks/13_JURISDICTION_LEVEL_TYPES.sql,.sql,121,2,database migration/schema,agent-tools,pending,not started,,,,,,
AGT_ERP,agent-tools/migration_chunks/14_RECRUITMENT_AGENCY_TYPES.sql,.sql,121,2,database migration/schema,agent-tools,pending,not started,,,,,,
